Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2008,Alabama,Legislation,HB 889,,http://alissearch.legislature.state.al.us/texis/search/context.html?query=textbook&pr=2008RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=4c8fdba370#hit1,,"Existing law does not address or place limits on the rising prices of college and university textbooks. This bill would prohibit any employee of a two-year or four-year institution of higher education from receiving incentives from publishers. This bill would require the posting of lists of required textbooks as such lists become available. This bill would require each institution to develop and implement cost saving measures regarding textbooks. This bill would also establish the College Textbook Review Board to interface between the publishing industry and the management of independent bookstores, explore the issue of textbook costs in the state, and create and mandate cost control policies.",Grimes,Higher Ed,no,no,,,,
2009,Alabama,Legislation,SB 412,HB 169,http://alissearch.legislature.state.al.us/texis/search/context.html?query=textbook&pr=2009RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=4c8fe7a93e#hit1,,"Existing law does not address or place limits on the rising prices of college and university textbooks. This bill would prohibit any employee of a two-year or four-year institution of higher education from receiving incentives from publishers. This bill would require the posting of lists of required textbooks as such lists become available. This bill would require each institution to develop and implement cost saving measures regarding textbooks. This bill would also establish the College Textbook Review Board to interface between the publishing industry and the management of independent bookstores, explore the issue of textbook costs in the state, and create and mandate cost control policies.","Poole / Grimes, Hill, Moore, Drake, Oden, Hammon, McCutcheon",Higher Ed,no,no,,,,
2010,Alabama,Legislation,HB 431,,http://alissearch.legislature.state.al.us/texis/search/context.html?query=textbook+cost&pr=2010RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=4c8fe2e5152#hit1,,"Existing law does not address or place limits on the rising prices of college and university textbooks. This bill would prohibit any employee of a two-year or four-year institution of higher education from receiving incentives from publishers. This bill would require the posting of lists of required textbooks as such lists become available. This bill would require each institution to develop and implement cost saving measures regarding textbooks. This bill would also establish the College Textbook Review Board to interface between the publishing industry and the management of independent bookstores, explore the issue of textbook costs in the state, and create and mandate cost control policies.","Grimes, Wren, Oden, McMillan",Higher Ed,no,?,,,,
2012,Alabama,Legislation,HB 165,SB 199,http://alissearch.legislature.state.al.us/texis/search/context.html?query=digital+course&pr=2012RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=4fa03eb7eb#hit1,,"Relating to public 9-12 education; to provide all students and teachers, where available, approved textbooks and instructional materials in electronic format and, where feasible, to provide a pen-enabled: tablet, mobile computer, or similar wireless electronic device for storing, reading, accessing, exploring, and interacting with digital textbooks and other instructional materials","McClendon / Dial, Scofield, Ward, Whatley, Marsh, Waggoner",K-12,no,?,,,,
2013,Alabama,Legislation,HB 293,,http://alissearch.legislature.state.al.us/texis/search/context.html?query=digital+course&pr=2013RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=5182c291d1#hit1,,"To amend Sections 1 and 2 of Act 2012-560, 2012 Regular Session, now appearing as Sections 16-16B-1 and 16-16B-2, Code of Alabama 1975, relating to the Alabama Ahead Act",McClendon ,K-12,no,?,,,,
2013,Alabama,Legislation,SB 224,"*potentially a companion of HB293, text is similar",http://alissearch.legislature.state.al.us/texis/search/context.html?query=digital+course&pr=2013RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=5123bdf2b3#hit1,,"Under existing law, the Alabama Ahead Act, commencing with the 2012-2013 school year, phased in the provision of textbooks and other instructional materials to students and teachers in electronic format through pen-enabled tablets and mobile computers. The act provides for the reassignment of the tablets and mobile computers to students, requires the State Department of Education to establish an advisory committee, and provides for a bond issue. This bill, commencing with the 2013-2014 school year, would delete the requirement that the tablets and mobile computers be pen-enabled, would delete the phase-in provisions, would delete the reassignment provisions, and would revise the composition of the advisory committee.","Dial, Pittman",K-12,no,,,,,
2014,Alabama,Legislation,HB 1,,http://alisondb.legislature.state.al.us/alison/searchableinstruments/2014rs/bills/HB1.htm,,"Under existing law, the Alabama Ahead Act, commencing with the 2012-2013 school year, phased in the provision of textbooks and other instructional materials to students and teachers in electronic format through pen-enabled tablets and mobile computers. The law provides for the reassignment of the tablets and mobile computers to students, requires the State Department of Education to establish an advisory committee, and provides for a bond issue. The law authorizes the Alabama Public School and College Authority to issue bonds for the purposes of the law contingent upon a separate legislative enactment. This bill, commencing with the 2014-2015 school year, would delete the requirement that the tablets and mobile computers be pen-enabled, would delete the phase-in provisions, would delete the reassignment provisions, and would revise the composition of the advisory committee.",McClendon,K-12,no,,,,,
2014,Alabama,Legislation,SB 1 ,,http://alissearch.legislature.state.al.us/texis/search/context.html?query=digital+course&pr=2014RS&prox=page&rorder=500&rprox=500&rdfreq=500&rwfreq=500&rlead=500&rdepth=0&sufs=0&order=r&cq=&cmd=context&id=54e774e3154#hit1,,"To amend Sections 16-16B-1 and 16-16B-2, Code of Alabama 1975, relating to the Alabama Ahead Act; commencing with the 2014-2015 school year, to delete the requirement that tablets and mobile computers be pen-enabled; to delete the phase-in provisions; to delete the reassignment provisions; to revise the composition of the advisory committee; to make participation by local school systems voluntary; to require participating systems to contribute 25 percent of the funding from local school system funds, unless the requirement is waived or reduced by the State Department of Education; and to amend Section 14 of Act 2012-560, 2012 Regular Session, to delete the requirement that implementation of the act be contingent upon separate legislative enactment.",Dial,K-12,no,,,,,
2016,Alabama,Legislation,HB 41,SB 351,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2016RS/PrintFiles/HB41-enr.pdf,Delivered to Governor - 4/7/16 and assigned Act No. 2016-139,"Alabama Ahead Act: This Act phased in the provision of textbooks in electronic formats - this current bill would use funds to purchase mobile digital resources (including devices and digital content). Where feasible, students may be provided with mobile digital computing devices for utilizing 21st Century technology for storing, reading, accessing, exploring and interacting with digital textbooks and other instructional materials.",Donnie Chesteen,K-12  ,no,yes,,,,
2016,Alabama,Legislation,SB 351,HB 41,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2016rs/PrintFiles/SB351-eng.pdf,"Passed Senate - 4/19/16; Read and referred to House Committee on Ways and Means - 4/19/16
Earlier versions introduced as S 5 and S 17","Alabama Ahead Act: This Act phased in the provision of textbooks in electronic formats - this current bill would use funds to purchase mobile digital resources (including devices and digital content). Where feasible, students may be provided with mobile computers or other similar wireless electronic devices for storing, reading, accessing, exploring and interacting with digital textbooks and other instructional materials.","Gerald Dial, McClendon",K-12,no,no,,,,
2008,Arizona,Legislation,SB 1175,HB 2230,http://www.azleg.gov/legtext/48leg/2R/bills/sb1175p.pdf,,"Section 1. Title 15, chapter 14, Arizona Revised Statutes, is amended by adding article 9, to read: ARTICLE 9. COLLEGE TEXTBOOK INFORMATION: The publisher of a college textbook or supplemental materials for college courses shall provide the following written information to faculty members and any other persons who are in charge of selecting course materials for a university...","Senator O'Halleran; Representatives Burns J, Lujan, Schapira: Senator Pesquiera; Representatives Anderson, Campbell CH, Gallardo, Thrasher, Tobin",Higher Ed,no,,,,,
2012,Arizona,Legislation,SB 1259,,https://legiscan.com/AZ/bill/SB1259/2012,"Passed by legislature, vetoed by governor",Mentions Open Educational Resources Providers,,K-12,yes,no,,,,
2016,Arizona,Legislation,HB 2207,,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2207&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Committees,Arizona Online Instruction: This bill allows open educational resource providers to submit applications for courses to the Department of Education for inclusion on a master list of approved online courses.,"Eric Meyer, Mark Cardenas, Charlene Fernandez, Juan Mendez, Reginald Bolding, Rosanna Gabaldon, Albert Hale",K-12,yes,no,,,,
2016,Arizona,Legislation,HB 2582,SB 1389,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2582&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Committees,"The SBE, Dept. of Ed., school districts and charter schools may not purchase, lease, rent or use hardware/software for instruction, including tutorials, interactive textbooks, collaborative software or operating systems that collects any user data without obtaining prior written consent from parents or guardians and teachers, or that denies access to parents, guardians or citizens","Phil Lovas, David Livingston",K-12,no,no,,,,
2016,Arizona,Legislation,SB 1389,HB 2582,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=SB1389&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Rules,"The SBE, Dept. of Ed., school districts and charter schools may not purchase, lease, rent or use hardware/software for instruction, including tutorials, interactive textbooks, collaborative software or operating systems that collects any user data without obtaining prior written consent from parents or guardians and teachers, or that denies access to parents, guardians or citizens","Judy Burges, Sonny Borrelli, Darin Mitchell, Sylvia Allen, David Farnsworth, Steve Smith, Rick Gray, Anthony Kern, Jay Lawrence, David Livingston, Phil Lovas",K-12,no,no,,,,
2017,Arizona,Adjourned,SB 1260,,https://apps.azleg.gov/BillStatus/BillOverview/69041?SessionId=117,"Introduced and referred to Education and Rules Committees - 01/25/2017

Read second time - 01/26/2017","Digital Media Literacy: This bill requires the Superintendent to develop best practices and recommendations for instruction in digital citizenship, internet safety, and media literacy. In developing best practices, the Superintendent may consider: processes necessary to develop customized policies and procedures on electronic resources and internet safety",Bradley,K-12,No,No,,,,
2017,Arizona,Adjourned,SB 1378,,https://apps.azleg.gov/BillStatus/BillOverview/69210?SessionId=117,"Introduced - 01/27/2017

Assigned to Education and Rules Committees - 01/31/2017

Read second time - 02/01/2017","Digital Media Literacy: This bill requires the Superintendent to develop best practices and recommendations for instruction in digital citizenship, internet safety, and media literacy. In developing best practices, the Superintendent may consider: processes necessary to develop customized policies and procedures on electronic resources and internet safety",Montenegro,K-12,No,No,,,,
2015,Arkansas,Legislation,SB 265,,http://www.arkleg.state.ar.us/assembly/2015/2015R/Pages/BillInformation.aspx?measureno=sb265,Signed and Enacted (Act 306),Act 306: This bill creates the University of Arkansas eVersity (an entirely online institution of higher education). This bill requires that open educational resources be utilized to support course delivery to students,Eddie Cheatham,Higher Ed,yes,yes,4/13/2016,,,
2017,Arkansas,Adjourned,SB 562,,http://www.arkleg.state.ar.us/assembly/2017/2017R/Pages/BillInformation.aspx?measureno=SB562,Signed by Governor - 04/05/2017,"This bill amends existing law - this bill deletes the requirement that a publisher must create a list of all instructional materials sold to each school district, including the price of each instructional material. Instead, the statute would only require that any publisher doing business in Arkansas must maintain at least one book depository at the publisher's expense in the state.",English,K-12,No,Yes,Does anyone have a read on whether this is something the publishers pushed for? Something we should look out for in other states?,,,
2015,California,Legislation,AB 798,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_798&sess=CUR&house=B&author=bonilla_%3Cbonilla%3E,Signed by the Governor and Enacted,"College Textbook Affordability Act of 2015: The purpose of this bill is to reduce textbook costs for college students and encourage faculty to accelerate the adoption of lower cost, high-quality open educational resources. This bill creates the Open Educational Resources Adoption Incentive Fund to provide incentives and reward campus, staff, and faculty efforts to accelerate the adoption of open educational resources",Susan Bonilla,Higher Ed,yes,yes,1/4/2016,,,
2016,California,Legislation,AB 1598,SB 825,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160AB1598,Amended and re-referred to Budget Committee - Read second time and amended - 4/26/16; Re-referred to Budget Committee - 6/1/16; died,"Budget Act of 2016. This is a budget act, however, this bill makes funds available for open educational resources and zero-textbook-cost degrees for high need students that reduce costs for students in community colleges.",Shirley Weber,Higher Ed,yes,no,,,,
2016,California,Legislation,AB 2706,,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_2701-2750/ab_2706_bill_20160318_amended_asm_v98.htm,In Committee - held under submission - 5/27/16,This bill would provide funds for a pilot program to train teachers who teach K-12 to more effectively use technology and digital resources within their instructional day,Scott Wilk ,K-12,no,no,,,,
2016,California,Legislation,AB 456,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_456&sess=CUR&house=B&author=patterson_%3Cpatterson%3E,Introduced 2/23/15; Died 1/31/16; From Committee filed with the Chief Clerk 2/1/16,"Electronic textbooks: The California State University is required to offer discounted electronic textbook rentals to students for each textbook assigned in a course, if the content of the electronic and printed versions of the textbook are the same",Jim Patterson,Higher Ed,no,no,,,,
