Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted
2016,Alabama,Legislation,HB 41,SB 351,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2016RS/PrintFiles/HB41-enr.pdf,Delivered to Governor - 4/7/16 and assigned Act No. 2016-139,"Alabama Ahead Act: This Act phased in the provision of textbooks in electronic formats - this current bill would use funds to purchase mobile digital resources (including devices and digital content). Where feasible, students may be provided with mobile digital computing devices for utilizing 21st Century technology for storing, reading, accessing, exploring and interacting with digital textbooks and other instructional materials.",Donnie Chesteen,K-12  ,no,yes
2016,Alabama,Legislation,SB 351,HB 41,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2016rs/PrintFiles/SB351-eng.pdf,"Passed Senate - 4/19/16; Read and referred to House Committee on Ways and Means - 4/19/16
Earlier versions introduced as S 5 and S 17","Alabama Ahead Act: This Act phased in the provision of textbooks in electronic formats - this current bill would use funds to purchase mobile digital resources (including devices and digital content). Where feasible, students may be provided with mobile computers or other similar wireless electronic devices for storing, reading, accessing, exploring and interacting with digital textbooks and other instructional materials.","Gerald Dial, McClendon",K-12,no,no
2016,Arizona,Legislation,HB 2207,,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2207&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Committees,Arizona Online Instruction: This bill allows open educational resource providers to submit applications for courses to the Department of Education for inclusion on a master list of approved online courses.,"Eric Meyer, Mark Cardenas, Charlene Fernandez, Juan Mendez, Reginald Bolding, Rosanna Gabaldon, Albert Hale",K-12,yes,no
2016,Arizona,Legislation,HB 2582,SB 1389,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2582&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Committees,"The SBE, Dept. of Ed., school districts and charter schools may not purchase, lease, rent or use hardware/software for instruction, including tutorials, interactive textbooks, collaborative software or operating systems that collects any user data without obtaining prior written consent from parents or guardians and teachers, or that denies access to parents, guardians or citizens","Phil Lovas, David Livingston",K-12,no,no
2016,Arizona,Legislation,SB 1389,HB 2582,http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=SB1389&Session_Id=115&image.x=0&image.y=0,Final Disposition: Held in Rules,"The SBE, Dept. of Ed., school districts and charter schools may not purchase, lease, rent or use hardware/software for instruction, including tutorials, interactive textbooks, collaborative software or operating systems that collects any user data without obtaining prior written consent from parents or guardians and teachers, or that denies access to parents, guardians or citizens","Judy Burges, Sonny Borrelli, Darin Mitchell, Sylvia Allen, David Farnsworth, Steve Smith, Rick Gray, Anthony Kern, Jay Lawrence, David Livingston, Phil Lovas",K-12,no,no
2016,California,Legislation,AB 1598,SB 825,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160AB1598,Amended and re-referred to Budget Committee - Read second time and amended - 4/26/16; Re-referred to Budget Committee - 6/1/16; died,"Budget Act of 2016. This is a budget act, however, this bill makes funds available for open educational resources and zero-textbook-cost degrees for high need students that reduce costs for students in community colleges.",Shirley Weber,Higher Ed,yes,no
2016,California,Legislation,AB 2706,,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_2701-2750/ab_2706_bill_20160318_amended_asm_v98.htm,In Committee - held under submission - 5/27/16,This bill would provide funds for a pilot program to train teachers who teach K-12 to more effectively use technology and digital resources within their instructional day,Scott Wilk ,K-12,no,no
2016,California,Legislation,AB 456,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_456&sess=CUR&house=B&author=patterson_%3Cpatterson%3E,Introduced 2/23/15; Died 1/31/16; From Committee filed with the Chief Clerk 2/1/16,"Electronic textbooks: The California State University is required to offer discounted electronic textbook rentals to students for each textbook assigned in a course, if the content of the electronic and printed versions of the textbook are the same",Jim Patterson,Higher Ed,no,no
2016,California,Legislation,AB 798,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_798&sess=CUR&house=B&author=bonilla_%3Cbonilla%3E,"Signed by the Governor 
& Enacted (2015)","College Textbook Affordability Act of 2015: The purpose of this bill is to reduce textbook costs for college students and encourage faculty to accelerate the adoption of lower cost, high-quality open educational resources. This bill creates the Open Educational Resources Adoption Incentive Fund to provide incentives and reward campus, staff, and faculty efforts to accelerate the adoption of open educational resources",Susan Bonilla,Higher Ed,yes,yes
2016,California,Legislation,SB 825,AB 1598,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=sb_825&sess=CUR&house=B&author=leno_%3Cleno%3E,Introduced - Read first time - 1/7/16; From Budget and F.R. Committee with author's amendments - read second time and amended. Re-referred to Budget and F.R. Committee - 5/26/16,"Budget Act of 2016. This is a budget act, however, this bill makes funds available for open educational resources and zero-textbook-cost degrees for high need students that reduce costs for students in community colleges.",Anthony Rendon,Higher Ed,yes,no
